"date","id","rs","fd","irs","rh","f1.pnt5to3","f1.gt3","f2.pnt5to3","f2.gt3","f3.pnt5to3","f3.gt3","observer","mean.pnt5to3","mean.gt3","mean.total"
2015-12-04,"1603B",320,107,310,46,15,75,25,15,55,35,"JL",31.6666666666667,41.6666666666667,73.3333333333333
2015-12-09,"1639B",355,88,400,33,0,0,0,0,0,25,"ED",0,8.33333333333333,8.33333333333333
2015-12-09,"1637A",360,104,525,37,0,0,0,0,0,5,"ED",0,1.66666666666667,1.66666666666667
2015-12-09,"1632B",257,123,402,48,0,0,0,0,0,0,"ED",0,0,0
2015-12-09,"1634A",286,116,570,44,5,75,15,65,5,85,"ED",8.33333333333333,75,83.3333333333333
2015-12-09,"1639A",340,76,530,28,0,0,5,0,5,5,"ED",3.33333333333333,1.66666666666667,5
2015-12-09,"1637B",315,80,495,37,0,0,5,35,5,35,"ED",3.33333333333333,23.3333333333333,26.6666666666667
2015-12-09,"1633A",285,102,440,21,15,45,15,65,5,55,"ED",11.6666666666667,55,66.6666666666667
2015-12-09,"1638A",320,86,387,30,5,85,5,65,5,65,"WR",5,71.6666666666667,76.6666666666667
2015-12-09,"1632A",285,116,541,43,0,5,0,45,5,45,"WR",1.66666666666667,31.6666666666667,33.3333333333333
2015-12-09,"1640A",311,72,402,34,5,25,5,35,15,25,"WR",8.33333333333333,28.3333333333333,36.6666666666667
2015-12-09,"1631B",312,120,388,55,5,0,5,0,0,0,"WR",3.33333333333333,0,3.33333333333333
2015-12-09,"1631A",322,106,444,36,5,15,35,35,55,25,"WR",31.6666666666667,25,56.6666666666667
2015-12-09,"1638B",332,96,366,42,5,45,0,0,5,0,"WR",3.33333333333333,15,18.3333333333333
2015-12-09,"1640B",331,80,391,25,5,25,15,45,15,5,"WR",11.6666666666667,25,36.6666666666667
2015-12-11,"1635C",265,116,315,46,0,0,0,0,0,0,"ED",0,0,0
2015-12-11,"1636B",278,102,400,35,0,0,0,0,0,0,"ED",0,0,0
2015-12-11,"1636A",282,104,344,47,5,0,5,0,5,0,"ED",5,0,5
2015-12-11,"1635A",265,93,355,45,0,0,0,0,0,0,"ED",0,0,0
2015-12-11,"1635B",250,80,380,38,0,0,5,0,5,5,"ED",3.33333333333333,1.66666666666667,5
